game_id,game_date,team_abbreviation,team_name,opponent_abbreviation,opponent_name,wl,pts,opponent_pts,plus_minus,efg_pct,tov_rate,oreb_pct,ft_rate,fg3_attempt_rate,ast_to_tov_ratio,efg_diff,tov_rate_advantage,oreb_pct_diff,ft_rate_diff,fg3_attempt_rate_diff,ast_to_tov_ratio_diff
0042500121,2026-04-18,ATL,Atlanta Hawks,NYK,New York Knicks,L,102,113,-11,0.5172413793103449,0.11177347242921014,0.1702127659574468,0.21839080459770116,0.42528735632183906,2.0833333333333335,-0.032758620689655175,-0.006207253619229328,0.012318029115341545,-0.15660919540229884,0.11278735632183907,0.0833333333333333
0042500121,2026-04-18,NYK,New York Knicks,ATL,Atlanta Hawks,W,113,102,11,0.55,0.10556621880998081,0.15789473684210525,0.375,0.3125,2.0,0.032758620689655175,0.006207253619229328,-0.012318029115341545,0.15660919540229884,-0.11278735632183907,-0.0833333333333333
0042500131,2026-04-18,CLE,Cleveland Cavaliers,TOR,Toronto Raptors,W,126,113,13,0.6419753086419753,0.15409717186366934,0.23333333333333334,0.345679012345679,0.3950617283950617,1.4117647058823528,0.02929925230394714,0.018316621239778952,0.1,-0.14727873413319423,0.014780038254216659,-0.1993464052287582
0042500131,2026-04-18,TOR,Toronto Raptors,CLE,Cleveland Cavaliers,L,113,126,-13,0.6126760563380281,0.1724137931034483,0.13333333333333333,0.49295774647887325,0.38028169014084506,1.6111111111111112,-0.02929925230394714,-0.018316621239778952,-0.1,0.14727873413319423,-0.014780038254216659,0.1993464052287582
0042500161,2026-04-18,DEN,Denver Nuggets,MIN,Minnesota Timberwolves,W,116,105,11,0.4942528735632184,0.12119113573407202,0.18181818181818182,0.3793103448275862,0.41379310344827586,1.9285714285714286,-0.028735632183908046,-0.0012206669263939121,0.029644268774703556,0.16091954022988506,0.022988505747126436,0.3131868131868132
0042500161,2026-04-18,MIN,Minnesota Timberwolves,DEN,Denver Nuggets,L,105,116,-11,0.5229885057471264,0.11997046880767812,0.15217391304347827,0.21839080459770116,0.39080459770114945,1.6153846153846154,0.028735632183908046,0.0012206669263939121,-0.029644268774703556,-0.16091954022988506,-0.022988505747126436,-0.3131868131868132
0042500171,2026-04-18,HOU,Houston Rockets,LAL,Los Angeles Lakers,L,98,107,-9,0.43548387096774194,0.1111111111111111,0.39622641509433965,0.26881720430107525,0.3548387096774194,1.8461538461538463,-0.24633431085043989,0.09414340448823208,0.2808417997097242,-0.12512218963831867,0.06695992179863147,0.3961538461538462
0042500171,2026-04-18,LAL,Los Angeles Lakers,HOU,Houston Rockets,W,107,98,9,0.6818181818181818,0.20525451559934318,0.11538461538461539,0.3939393939393939,0.2878787878787879,1.45,0.24633431085043989,-0.09414340448823208,-0.2808417997097242,0.12512218963831867,-0.06695992179863147,-0.3961538461538462
0042500101,2026-04-19,DET,Detroit Pistons,ORL,Orlando Magic,L,101,112,-11,0.4675324675324675,0.12996658002227998,0.15,0.4935064935064935,0.4155844155844156,1.3571428571428572,-0.07691197691197692,-0.021231531091507966,-0.1,0.2823953823953824,0.03780663780663781,-0.8095238095238096
0042500101,2026-04-19,ORL,Orlando Magic,DET,Detroit Pistons,W,112,101,11,0.5444444444444444,0.10873504893077202,0.25,0.2111111111111111,0.37777777777777777,2.1666666666666665,0.07691197691197692,0.021231531091507966,0.1,-0.2823953823953824,-0.03780663780663781,0.8095238095238096
0042500111,2026-04-19,BOS,Boston Celtics,PHI,Philadelphia 76ers,W,123,91,32,0.5888888888888889,0.09117432530999271,0.14705882352941177,0.24444444444444444,0.4888888888888889,3.1,0.17777777777777778,0.03912449331405177,-0.07743097238895558,-0.011111111111111112,0.23333333333333334,1.7666666666666666
0042500111,2026-04-19,PHI,Philadelphia 76ers,BOS,Boston Celtics,L,91,123,-32,0.4111111111111111,0.13029881862404447,0.22448979591836735,0.25555555555555554,0.25555555555555554,1.3333333333333333,-0.17777777777777778,-0.03912449331405177,0.07743097238895558,0.011111111111111112,-0.23333333333333334,-1.7666666666666666
0042500141,2026-04-19,OKC,Oklahoma City Thunder,PHX,Phoenix Suns,W,119,84,35,0.5268817204301075,0.07199424046076314,0.38,0.24731182795698925,0.4946236559139785,3.5,0.09917087705661355,0.10085874352759203,0.09428571428571429,0.030444358077471177,0.02474413784168934,2.6578947368421053
0042500141,2026-04-19,PHX,Phoenix Suns,OKC,Oklahoma City Thunder,L,84,119,-35,0.42771084337349397,0.17285298398835516,0.2857142857142857,0.21686746987951808,0.46987951807228917,0.8421052631578947,-0.09917087705661355,-0.10085874352759203,-0.09428571428571429,-0.030444358077471177,-0.02474413784168934,-2.6578947368421053
0042500151,2026-04-19,POR,Portland Trail Blazers,SAS,San Antonio Spurs,L,98,111,-13,0.4835164835164835,0.10253542132736763,0.19047619047619047,0.13186813186813187,0.4175824175824176,2.5454545454545454,-0.08195970695970696,0.029093010413888475,-0.07781649245063879,-0.09432234432234432,0.024725274725274724,0.8311688311688312
0042500151,2026-04-19,SAS,San Antonio Spurs,POR,Portland Trail Blazers,W,111,98,13,0.5654761904761905,0.1316284317412561,0.2682926829268293,0.2261904761904762,0.39285714285714285,1.7142857142857142,0.08195970695970696,-0.029093010413888475,0.07781649245063879,0.09432234432234432,-0.024725274725274724,-0.8311688311688312
0042500122,2026-04-20,ATL,Atlanta Hawks,NYK,New York Knicks,W,107,106,1,0.5493827160493827,0.11636927851047324,0.15384615384615385,0.2839506172839506,0.37037037037037035,1.8333333333333333,0.037888463175819495,0.007656235309512591,-0.16433566433566432,-0.02639421030225628,-0.020434227330779056,0.2619047619047619
0042500122,2026-04-20,NYK,New York Knicks,ATL,Atlanta Hawks,L,106,107,-1,0.5114942528735632,0.12402551381998582,0.3181818181818182,0.3103448275862069,0.39080459770114945,1.5714285714285714,-0.037888463175819495,-0.007656235309512591,0.16433566433566432,0.02639421030225628,0.020434227330779056,-0.2619047619047619
0042500132,2026-04-20,CLE,Cleveland Cavaliers,TOR,Toronto Raptors,W,115,105,10,0.608433734939759,0.13123359580052493,0.21052631578947367,0.26506024096385544,0.4819277108433735,1.5714285714285714,0.060240963855421686,0.0643567313687496,-0.09716599190283401,0.060240963855421686,0.1686746987951807,0.5259740259740259
0042500132,2026-04-20,TOR,Toronto Raptors,CLE,Cleveland Cavaliers,L,105,115,-10,0.5481927710843374,0.19559032716927455,0.3076923076923077,0.20481927710843373,0.3132530120481928,1.0454545454545454,-0.060240963855421686,-0.0643567313687496,0.09716599190283401,-0.060240963855421686,-0.1686746987951807,-0.5259740259740259
0042500162,2026-04-20,DEN,Denver Nuggets,MIN,Minnesota Timberwolves,L,114,119,-5,0.5290697674418605,0.08317929759704251,0.1111111111111111,0.3488372093023256,0.47674418604651164,3.111111111111111,-0.02648578811369509,0.020987369069624152,-0.08037825059101655,0.015503875968992248,0.09896640826873385,0.611111111111111
0042500162,2026-04-20,MIN,Minnesota Timberwolves,DEN,Denver Nuggets,W,119,114,5,0.5555555555555556,0.10416666666666667,0.19148936170212766,0.3333333333333333,0.37777777777777777,2.5,0.02648578811369509,-0.020987369069624152,0.08037825059101655,-0.015503875968992248,-0.09896640826873385,-0.611111111111111
0042500112,2026-04-21,BOS,Boston Celtics,PHI,Philadelphia 76ers,L,97,111,-14,0.46629213483146065,0.11826783114992721,0.375,0.20224719101123595,0.5617977528089888,1.8461538461538463,-0.11704119850187265,-0.03159602837642953,0.10227272727272728,0.08002496878901373,0.12846441947565543,-0.1538461538461538
0042500112,2026-04-21,PHI,Philadelphia 76ers,BOS,Boston Celtics,W,111,97,14,0.5833333333333334,0.08667180277349769,0.2727272727272727,0.12222222222222222,0.43333333333333335,2.0,0.11704119850187265,0.03159602837642953,-0.10227272727272728,-0.08002496878901373,-0.12846441947565543,0.1538461538461538
0042500152,2026-04-21,POR,Portland Trail Blazers,SAS,San Antonio Spurs,W,106,103,3,0.5,0.13144058885383805,0.3125,0.25842696629213485,0.42696629213483145,1.3333333333333333,0.01744186046511628,0.015975297375783855,0.0125,-0.06715442905670238,0.147896524692971,0.2156862745098039
0042500152,2026-04-21,SAS,San Antonio Spurs,POR,Portland Trail Blazers,L,103,106,-3,0.48255813953488375,0.14741588622962193,0.3,0.32558139534883723,0.27906976744186046,1.1176470588235294,-0.01744186046511628,-0.015975297375783855,-0.0125,0.06715442905670238,-0.147896524692971,-0.2156862745098039
0042500172,2026-04-21,HOU,Houston Rockets,LAL,Los Angeles Lakers,L,94,101,-7,0.4438202247191011,0.133499466002136,0.37777777777777777,0.21348314606741572,0.3258426966292135,1.5333333333333332,-0.10479088639201,0.01752751748558048,0.1130718954248366,-0.17540574282147317,-0.06304619225967541,0.1333333333333333
0042500172,2026-04-21,LAL,Los Angeles Lakers,HOU,Houston Rockets,W,101,94,7,0.5486111111111112,0.15102698348771648,0.2647058823529412,0.3888888888888889,0.3888888888888889,1.4,0.10479088639201,-0.01752751748558048,-0.1130718954248366,0.17540574282147317,0.06304619225967541,-0.1333333333333333
0042500102,2026-04-22,DET,Detroit Pistons,ORL,Orlando Magic,W,98,83,15,0.49411764705882355,0.19399460188933873,0.3695652173913043,0.2823529411764706,0.3058823529411765,0.9565217391304348,0.11911764705882352,-0.02597196304957927,0.12428219852337982,-0.11764705882352941,-0.09411764705882353,0.06178489702517163
0042500102,2026-04-22,ORL,Orlando Magic,DET,Detroit Pistons,L,83,98,-15,0.375,0.16802263883975946,0.24528301886792453,0.4,0.4,0.8947368421052632,-0.11911764705882352,0.02597196304957927,-0.12428219852337982,0.11764705882352941,0.09411764705882353,-0.06178489702517163
0042500142,2026-04-22,OKC,Oklahoma City Thunder,PHX,Phoenix Suns,W,120,107,13,0.5494505494505495,0.08928571428571429,0.2926829268292683,0.27472527472527475,0.43956043956043955,2.4,0.02592113768584357,0.09926416572799843,-0.05615428247305729,0.01590174531351002,0.07485455720749838,1.3545454545454545
0042500142,2026-04-22,PHX,Phoenix Suns,OKC,Oklahoma City Thunder,L,107,120,-13,0.5235294117647059,0.18854988001371273,0.3488372093023256,0.25882352941176473,0.36470588235294116,1.0454545454545454,-0.02592113768584357,-0.09926416572799843,0.05615428247305729,-0.01590174531351002,-0.07485455720749838,-1.3545454545454545
0042500123,2026-04-23,ATL,Atlanta Hawks,NYK,New York Knicks,W,109,108,1,0.5290697674418605,0.14104372355430184,0.28888888888888886,0.3023255813953488,0.38372093023255816,1.1875,0.045198799699924984,0.009206693807968618,-0.015458937198067632,0.08727181795448863,0.007376844211052763,0.1319444444444444
0042500123,2026-04-23,NYK,New York Knicks,ATL,Atlanta Hawks,L,108,109,-1,0.4838709677419355,0.15025041736227046,0.30434782608695654,0.21505376344086022,0.3763440860215054,1.0555555555555556,-0.045198799699924984,-0.009206693807968618,0.015458937198067632,-0.08727181795448863,-0.007376844211052763,-0.1319444444444444
0042500133,2026-04-23,CLE,Cleveland Cavaliers,TOR,Toronto Raptors,L,104,126,-22,0.5308641975308642,0.19448373408769448,0.4,0.2839506172839506,0.5555555555555556,1.0454545454545454,-0.12430821626223926,-0.083618989076608,0.10270270270270271,0.04257130693912303,0.29118773946360155,-1.371212121212121
0042500133,2026-04-23,TOR,Toronto Raptors,CLE,Cleveland Cavaliers,W,126,104,22,0.6551724137931034,0.11086474501108648,0.2972972972972973,0.2413793103448276,0.26436781609195403,2.4166666666666665,0.12430821626223926,0.083618989076608,-0.10270270270270271,-0.04257130693912303,-0.29118773946360155,1.371212121212121
0042500163,2026-04-23,DEN,Denver Nuggets,MIN,Minnesota Timberwolves,L,96,113,-17,0.3902439024390244,0.09124087591240876,0.1276595744680851,0.4878048780487805,0.3902439024390244,1.2,-0.13126147390506163,0.005897944292465844,-0.1332099907493062,0.2619984264358773,0.024652504589562026,-1.6181818181818182
0042500163,2026-04-23,MIN,Minnesota Timberwolves,DEN,Denver Nuggets,W,113,96,17,0.521505376344086,0.0971388202048746,0.2608695652173913,0.22580645161290322,0.3655913978494624,2.8181818181818183,0.13126147390506163,-0.005897944292465844,0.1332099907493062,-0.2619984264358773,-0.024652504589562026,1.6181818181818182
0042500113,2026-04-24,BOS,Boston Celtics,PHI,Philadelphia 76ers,W,108,100,8,0.5679012345679012,0.16116799393249906,0.38461538461538464,0.20987654320987653,0.5802469135802469,1.2352941176470589,0.06215410813111963,-0.05644598326989433,0.08228980322003578,0.02596849723286505,0.17794806300553426,-0.4010695187165776
0042500113,2026-04-24,PHI,Philadelphia 76ers,BOS,Boston Celtics,L,100,108,-8,0.5057471264367817,0.10472201066260473,0.3023255813953488,0.1839080459770115,0.40229885057471265,1.6363636363636365,-0.06215410813111963,0.05644598326989433,-0.08228980322003578,-0.02596849723286505,-0.17794806300553426,0.4010695187165776
0042500153,2026-04-24,POR,Portland Trail Blazers,SAS,San Antonio Spurs,L,108,120,-12,0.4888888888888889,0.09669479606188466,0.3076923076923077,0.32222222222222224,0.4222222222222222,1.9090909090909092,-0.0743295019157088,0.034515840747072646,-0.017889087656529516,0.0003831417624521073,0.04291187739463601,0.1090909090909091
0042500153,2026-04-24,SAS,San Antonio Spurs,POR,Portland Trail Blazers,W,120,108,12,0.5632183908045977,0.1312106368089573,0.32558139534883723,0.3218390804597701,0.3793103448275862,1.8,0.0743295019157088,-0.034515840747072646,0.017889087656529516,-0.0003831417624521073,-0.04291187739463601,-0.1090909090909091
0042500173,2026-04-24,HOU,Houston Rockets,LAL,Los Angeles Lakers,L,108,112,-4,0.4642857142857143,0.1358695652173913,0.3333333333333333,0.23469387755102042,0.3979591836734694,1.2352941176470589,-0.0926763110307414,0.04821178120617111,0.10833333333333334,-0.1703694135882201,0.03087057607853268,-0.0980392156862745
0042500173,2026-04-24,LAL,Los Angeles Lakers,HOU,Houston Rockets,W,112,108,4,0.5569620253164557,0.18408134642356241,0.225,0.4050632911392405,0.3670886075949367,1.3333333333333333,0.0926763110307414,-0.04821178120617111,-0.10833333333333334,0.1703694135882201,-0.03087057607853268,0.0980392156862745
0042500103,2026-04-25,DET,Detroit Pistons,ORL,Orlando Magic,L,105,113,-8,0.5,0.14342058085335246,0.22727272727272727,0.2823529411764706,0.3764705882352941,1.5,0.011235955056179775,-0.024291921901684655,-0.07707509881422925,-0.08843357567746199,0.005684071381361533,-0.0714285714285714
0042500103,2026-04-25,ORL,Orlando Magic,DET,Detroit Pistons,W,113,105,8,0.4887640449438202,0.1191286589516678,0.30434782608695654,0.3707865168539326,0.3707865168539326,1.5714285714285714,-0.011235955056179775,0.024291921901684655,0.07707509881422925,0.08843357567746199,-0.005684071381361533,0.0714285714285714
0042500124,2026-04-25,ATL,Atlanta Hawks,NYK,New York Knicks,L,98,114,-16,0.46987951807228917,0.168141592920354,0.27906976744186046,0.30120481927710846,0.4939759036144578,1.0526315789473684,-0.10843373493975904,-0.029406853741663637,-0.03671970624235006,0.024096385542168676,0.12048192771084337,-0.4807017543859649
0042500124,2026-04-25,NYK,New York Knicks,ATL,Atlanta Hawks,W,114,98,16,0.5783132530120482,0.13873473917869034,0.3157894736842105,0.27710843373493976,0.37349397590361444,1.5333333333333332,0.10843373493975904,0.029406853741663637,0.03671970624235006,-0.024096385542168676,-0.12048192771084337,0.4807017543859649
0042500143,2026-04-25,OKC,Oklahoma City Thunder,PHX,Phoenix Suns,W,121,109,12,0.5604395604395604,0.07390983000739099,0.21052631578947367,0.23076923076923078,0.4065934065934066,2.875,0.04894530756599722,0.027828978723648604,0.005980861244019139,-0.03359858532272325,-0.06467096122268536,0.6022727272727273
0042500143,2026-04-25,PHX,Phoenix Suns,OKC,Oklahoma City Thunder,L,109,121,-12,0.5114942528735632,0.10173880873103959,0.20454545454545456,0.26436781609195403,0.47126436781609193,2.2727272727272725,-0.04894530756599722,-0.027828978723648604,-0.005980861244019139,0.03359858532272325,0.06467096122268536,-0.6022727272727273
0042500164,2026-04-25,DEN,Denver Nuggets,MIN,Minnesota Timberwolves,L,96,112,-16,0.41379310344827586,0.09147457006952067,0.2608695652173913,0.3218390804597701,0.3218390804597701,2.1,-0.07497094149554437,0.015249015842965986,-0.12008281573498965,0.029704248999095958,0.040940204055275736,0.2666666666666667
0042500164,2026-04-25,MIN,Minnesota Timberwolves,DEN,Denver Nuggets,W,112,96,16,0.4887640449438202,0.10672358591248667,0.38095238095238093,0.29213483146067415,0.2808988764044944,1.8333333333333333,0.07497094149554437,-0.015249015842965986,0.12008281573498965,-0.029704248999095958,-0.040940204055275736,-0.2666666666666667
0042500114,2026-04-26,BOS,Boston Celtics,PHI,Philadelphia 76ers,W,128,96,32,0.6206896551724138,0.11574074074074074,0.3684210526315789,0.3218390804597701,0.6091954022988506,2.1538461538461537,0.15193965517241378,-0.025342990640298796,0.22888616891064872,0.021839080459770115,0.23419540229885058,-0.623931623931624
0042500114,2026-04-26,PHI,Philadelphia 76ers,BOS,Boston Celtics,L,96,128,-32,0.46875,0.09039775010044195,0.13953488372093023,0.3,0.375,2.7777777777777777,-0.15193965517241378,0.025342990640298796,-0.22888616891064872,-0.021839080459770115,-0.23419540229885058,0.623931623931624
0042500134,2026-04-26,CLE,Cleveland Cavaliers,TOR,Toronto Raptors,L,89,93,-4,0.42528735632183906,0.15635858234885336,0.2962962962962963,0.26436781609195403,0.45977011494252873,0.8333333333333334,0.08508117075482877,-0.06023554486086875,-0.04796599878567092,-0.10676620452660268,0.15049176442706483,-0.75
0042500134,2026-04-26,TOR,Toronto Raptors,CLE,Cleveland Cavaliers,W,93,89,4,0.3402061855670103,0.09612303748798462,0.3442622950819672,0.3711340206185567,0.30927835051546393,1.5833333333333333,-0.08508117075482877,0.06023554486086875,0.04796599878567092,0.10676620452660268,-0.15049176442706483,0.75
0042500154,2026-04-26,POR,Portland Trail Blazers,SAS,San Antonio Spurs,L,93,114,-21,0.4625,0.16648168701442842,0.18421052631578946,0.2875,0.3875,0.7777777777777778,-0.11221264367816092,-0.04552895162179722,-0.03530166880616174,0.09209770114942528,0.008189655172413794,-1.2222222222222223
0042500154,2026-04-26,SAS,San Antonio Spurs,POR,Portland Trail Blazers,W,114,93,21,0.5747126436781609,0.12095273539263118,0.21951219512195122,0.19540229885057472,0.3793103448275862,2.0,0.11221264367816092,0.04552895162179722,0.03530166880616174,-0.09209770114942528,-0.008189655172413794,1.2222222222222223
0042500174,2026-04-26,HOU,Houston Rockets,LAL,Los Angeles Lakers,W,115,96,19,0.5555555555555556,0.12077294685990338,0.2894736842105263,0.38271604938271603,0.37037037037037035,1.4615384615384615,0.02177177177177177,0.10302414377791833,-0.0046439628482972135,0.09893226559893227,0.07307307307307308,0.5032051282051282
0042500174,2026-04-26,LAL,Los Angeles Lakers,HOU,Houston Rockets,L,96,115,-19,0.5337837837837838,0.22379709063782172,0.29411764705882354,0.28378378378378377,0.2972972972972973,0.9583333333333334,-0.02177177177177177,-0.10302414377791833,0.0046439628482972135,-0.09893226559893227,-0.07307307307307308,-0.5032051282051282
0042500104,2026-04-27,DET,Detroit Pistons,ORL,Orlando Magic,L,88,94,-6,0.4146341463414634,0.17494751574527642,0.25,0.34146341463414637,0.36585365853658536,0.9,0.039634146341463415,-0.07407327230210224,-0.05188679245283019,-0.028101802757158005,-0.014581124072110286,-0.35
0042500104,2026-04-27,ORL,Orlando Magic,DET,Detroit Pistons,W,94,88,6,0.375,0.10087424344317418,0.3018867924528302,0.3695652173913043,0.3804347826086957,1.25,-0.039634146341463415,0.07407327230210224,0.05188679245283019,0.028101802757158005,0.014581124072110286,0.35
0042500144,2026-04-27,OKC,Oklahoma City Thunder,PHX,Phoenix Suns,W,131,122,9,0.6402439024390244,0.15151515151515152,0.3611111111111111,0.36585365853658536,0.4146341463414634,1.647058823529412,0.029132791327913278,-0.04146379421507815,0.08333333333333333,0.1880758807588076,-0.01869918699186992,-0.3529411764705882
0042500144,2026-04-27,PHX,Phoenix Suns,OKC,Oklahoma City Thunder,L,122,131,-9,0.6111111111111112,0.11005135730007337,0.2777777777777778,0.17777777777777778,0.43333333333333335,2.0,-0.029132791327913278,0.04146379421507815,-0.08333333333333333,-0.1880758807588076,0.01869918699186992,0.3529411764705882
0042500165,2026-04-27,DEN,Denver Nuggets,MIN,Minnesota Timberwolves,W,125,113,12,0.6325301204819277,0.14545454545454545,0.14705882352941177,0.30120481927710846,0.3493975903614458,2.1875,0.0522832069016808,0.06983997745279179,-0.12566844919786097,0.017254201993157817,0.003718578015766771,1.1475
0042500165,2026-04-27,MIN,Minnesota Timberwolves,DEN,Denver Nuggets,L,113,125,-12,0.5802469135802469,0.21529452290733725,0.2727272727272727,0.2839506172839506,0.345679012345679,1.04,-0.0522832069016808,-0.06983997745279179,0.12566844919786097,-0.017254201993157817,-0.003718578015766771,-1.1475
0042500115,2026-04-28,BOS,Boston Celtics,PHI,Philadelphia 76ers,L,97,113,-16,0.46629213483146065,0.1079913606911447,0.2631578947368421,0.25842696629213485,0.43820224719101125,2.0833333333333335,-0.12986171132238547,-0.006075339492612299,0.1349527665317139,-0.03644482857966004,-0.10025929127052723,-0.3166666666666667
0042500115,2026-04-28,PHI,Philadelphia 76ers,BOS,Boston Celtics,W,113,97,16,0.5961538461538461,0.10191602119853241,0.1282051282051282,0.2948717948717949,0.5384615384615384,2.4,0.12986171132238547,0.006075339492612299,-0.1349527665317139,0.03644482857966004,0.10025929127052723,0.3166666666666667
0042500125,2026-04-28,ATL,Atlanta Hawks,NYK,New York Knicks,L,97,126,-29,0.5240963855421686,0.09952229299363058,0.1111111111111111,0.20481927710843373,0.5060240963855421,2.5,-0.11514412078694525,0.0052795362746621095,-0.15555555555555556,-0.2255604697270093,0.17691017233490924,0.1363636363636364
0042500125,2026-04-28,NYK,New York Knicks,ATL,Atlanta Hawks,W,126,97,29,0.6392405063291139,0.10480182926829268,0.26666666666666666,0.43037974683544306,0.3291139240506329,2.3636363636363638,0.11514412078694525,-0.0052795362746621095,0.15555555555555556,0.2255604697270093,-0.17691017233490924,-0.1363636363636364
0042500155,2026-04-28,POR,Portland Trail Blazers,SAS,San Antonio Spurs,L,95,114,-19,0.4095744680851064,0.07956152758132956,0.2857142857142857,0.24468085106382978,0.5,2.6666666666666665,-0.2170921985815603,0.0827141501582657,0.059907834101382486,-0.14198581560283688,0.1,1.0784313725490196
