team_abbreviation,team_name,games_played,wins,avg_efg_diff,avg_tov_rate_advantage,avg_oreb_pct_diff,avg_ft_rate_diff,avg_fg3_attempt_rate_diff,avg_ast_to_tov_ratio_diff,losses,win_pct,efg_rank,tov_rank,oreb_rank,ft_rate_rank,ast_tov_rank
NYK,New York Knicks,19,16,0.0655,0.0119,0.0575,0.007,-0.0515,0.3665,3,0.842,1,6,2,6,3
SAS,San Antonio Spurs,23,13,0.0499,-0.0091,0.021,0.0361,0.0159,-0.0908,10,0.565,2,12,6,4,10
OKC,Oklahoma City Thunder,15,11,0.026,0.0319,-0.0136,-0.0164,-0.0096,0.6206,4,0.733,3,2,9,10,1
CLE,Cleveland Cavaliers,18,8,-0.0079,-0.0139,-0.0088,0.0595,0.106,-0.4191,10,0.444,7,13,7,2,15
DET,Detroit Pistons,14,7,0.0121,-0.0063,0.0408,-0.0609,-0.069,-0.0321,7,0.5,5,10,4,14,9
MIN,Minnesota Timberwolves,12,6,-0.0344,-0.002,0.0415,-0.0715,-0.0444,0.0854,6,0.5,10,9,3,16,8
LAL,Los Angeles Lakers,10,4,0.0163,-0.0466,-0.0226,0.059,-0.0437,-0.4037,6,0.4,4,15,10,3,14
PHI,Philadelphia 76ers,11,4,-0.0485,0.0008,-0.0897,0.0138,-0.0837,-0.3009,7,0.364,12,8,15,5,12
BOS,Boston Celtics,7,3,0.0083,-0.0074,0.0827,-0.0079,0.1379,0.1207,4,0.429,6,11,1,8,6
TOR,Toronto Raptors,7,3,-0.0191,0.0143,-0.0424,-0.0134,-0.1191,0.491,4,0.429,8,5,12,9,2
ORL,Orlando Magic,7,3,-0.0352,0.0182,-0.0455,-0.0059,0.0431,0.093,4,0.429,11,4,13,7,7
DEN,Denver Nuggets,6,2,-0.0306,0.0084,-0.1134,0.0939,0.0405,-0.1139,4,0.333,9,7,16,1,11
ATL,Atlanta Hawks,6,2,-0.0675,-0.0156,-0.0672,-0.0695,0.0667,-0.3349,4,0.333,14,14,14,15,13
HOU,Houston Rockets,6,2,-0.0744,0.0435,0.0398,-0.0606,0.0536,0.1903,4,0.333,15,1,5,13,5
POR,Portland Trail Blazers,5,1,-0.0936,0.0234,-0.0117,-0.0422,0.0647,0.2024,4,0.2,16,3,8,11,4
PHX,Phoenix Suns,4,0,-0.0508,-0.0466,-0.0319,-0.0502,-0.0041,-1.0654,4,0.0,13,16,11,12,16
